type,date,time,input_datasize_bytes,duration_s,throughput_bytes_s,throughput_per_node_bytes_s,cpu_used_percent,ram_used_bytes,disk_read_bytes_s,disk_write_bytes_s,network_receive_bytes_s,network_transmit_bytes_s,num_nodes,num_executors,executor_cores,executor_memory_mb,input_split_mb,buffer_kb,max_size_in_flight_mb,parallelism,date,time
ScalaSparkWordcount,2024-12-08,10:09:33,21866191585,240.028,91098503,45549251,21.559374773145677,3230268854.857143,22508228.511148084,435163.7722314494,3480845.2511171256,3468944.064610014,2,4,1,640m,,,,12.0,2024-12-08,10:09:34
ScalaSparkWordcount,2024-12-08,10:25:56,27332725062,283.284,96485241,48242620,30.740753360674404,4108827881.5438595,30997370.723681934,2041095.5872590567,6942057.60466887,5320311.744781272,2,4,1,640m,128.0,,,,2024-12-08,10:25:57
ScalaSparkWordcount,2024-12-08,10:32:15,27332725062,284.179,96181368,48090684,52.94888029408876,4224902197.894737,45061512.61818238,3330776.4698339896,8332937.343738312,8669358.317412114,2,4,1,640m,256.0,,,,2024-12-08,10:32:15
ScalaSparkWordcount,2024-12-08,10:37:42,27332725062,307.714,88825094,44412547,47.14689281753235,3691669768.2580647,40254400.27347297,2247071.1262978446,4806852.4914791,7655452.845062953,2,4,1,640m,512.0,,,,2024-12-08,10:37:43
ScalaSparkWordcount,2024-12-08,10:43:39,27332725062,298.779,91481412,45740706,35.19546243492679,3345050965.3333335,34453489.85513627,1243459.3383199954,3541341.091531857,7472177.289178427,2,4,1,640m,1024.0,,,,2024-12-08,10:43:39
ScalaSparkWordcount,2024-12-08,10:51:01,27332725062,290.922,93952073,46976036,39.516892316999375,3866259733.6949153,253340997.04281953,2963989.4677623357,10067092.93401296,27934419.571040682,2,4,1,640m,,,,4.0,2024-12-08,10:51:02
ScalaSparkWordcount,2024-12-08,10:56:19,27332725062,280.926,97295106,48647553,22.181866464466754,3211302804.2105265,32451075.93916991,726270.3414443118,5077835.602251427,5440323.833734816,2,4,1,640m,,,,8.0,2024-12-08,10:56:19
ScalaSparkWordcount,2024-12-08,11:04:57,27332725062,315.906,86521702,43260851,33.7134879032258,3920193216.0,40867155.76774193,3024423.8967741937,7683231.422194221,7609238.02780578,2,4,1,640m,,,,10.0,2024-12-08,11:04:57
ScalaSparkWordcount,2024-12-08,11:10:48,27332725062,282.786,96655156,48327578,22.21491228070175,3686786461.1929827,22859885.906766918,745367.6751879699,3511501.3053884706,3506660.4085421884,2,4,1,640m,,,,12.0,2024-12-08,11:10:48
ScalaSparkWordcount,2024-12-08,11:34:27,32799284189,351.502,93311799,46655899,26.385639634910913,4430988763.943662,27311094.319881026,826566.4325850757,4645940.596617871,5097040.791708318,2,4,1,640m,128.0,,,,2024-12-08,11:34:27
ScalaSparkWordcount,2024-12-08,11:44:04,32799284189,347.304,94439696,47219848,33.013987580640254,4663283009.828571,27780074.522418886,952140.7370195544,3985377.9019342107,4800150.519104582,2,4,1,640m,256.0,,,,2024-12-08,11:44:05
ScalaSparkWordcount,2024-12-08,11:52:56,32799284189,354.383,92553209,46276604,48.19199597585514,5035883274.816901,42304496.46486921,1893755.5599195163,5695563.951408451,8404660.714822266,2,4,1,640m,512.0,,,,2024-12-08,11:52:56
ScalaSparkWordcount,2024-12-08,11:59:36,32799284189,363.431,90248999,45124499,44.16786492164554,4451000937.20548,33335004.384899348,2349423.6923274808,5562100.248719997,5104785.035127661,2,4,1,640m,1024.0,,,,2024-12-08,11:59:36
